President,Start Date,End Date,Approving,Disapproving,Unsure/NoData,Inaug,Days
Biden,2023-10-02,2023-10-23,37,59,4,2021-01-20,985
Biden,2023-09-01,2023-09-23,41,58,1,2021-01-20,954
Biden,2023-08-01,2023-08-23,42,53,5,2021-01-20,923
Biden,2023-07-03,2023-07-27,40,55,4,2021-01-20,894
Biden,2023-06-01,2023-06-22,43,54,3,2021-01-20,862
Biden,2023-05-01,2023-05-24,39,57,5,2021-01-20,831
Biden,2023-04-03,2023-04-25,37,59,4,2021-01-20,803
Biden,2023-03-01,2023-03-23,40,56,4,2021-01-20,770
Biden,2023-02-01,2023-02-23,42,54,5,2021-01-20,742
Biden,2023-01-02,2023-01-22,41,54,4,2021-01-20,712
Biden,2022-11-09,2022-12-02,40,55,5,2021-01-20,658
Biden,2022-10-03,2022-10-20,40,56,4,2021-01-20,621
Biden,2022-09-01,2022-09-16,42,56,2,2021-01-20,589
Biden,2022-08-01,2022-08-23,44,53,3,2021-01-20,558
Biden,2022-07-05,2022-07-26,38,59,3,2021-01-20,531
Biden,2022-06-01,2022-06-20,41,57,3,2021-01-20,497
Biden,2022-05-02,2022-05-22,41,54,5,2021-01-20,467
Biden,2022-04-01,2022-04-19,41,56,3,2021-01-20,436
Biden,2022-03-01,2022-03-18,42,54,4,2021-01-20,405
Biden,2022-02-01,2022-02-17,41,55,4,2021-01-20,377
Biden,2022-01-03,2022-01-16,40,56,4,2021-01-20,348
Biden,2021-12-01,2021-12-16,43,51,6,2021-01-20,315
Biden,2021-11-01,2021-11-16,42,55,3,2021-01-20,285
Biden,2021-10-01,2021-10-19,42,52,6,2021-01-20,254
Biden,2021-09-01,2021-09-17,43,55,2,2021-01-20,224
Biden,2021-08-02,2021-08-17,49,48,3,2021-01-20,194
Biden,2021-07-06,2021-07-21,50,45,5,2021-01-20,167
Biden,2021-06-01,2021-06-18,56,42,2,2021-01-20,132
Biden,2021-05-03,2021-05-18,54,40,6,2021-01-20,103
Biden,2021-04-01,2021-04-21,57,40,3,2021-01-20,71
Biden,2021-03-01,2021-03-15,54,42,4,2021-01-20,40
Biden,2021-02-03,2021-02-18,56,40,4,2021-01-20,14
Biden,2021-01-21,2021-02-02,57,37,6,2021-01-20,1
Trump,2021-01-04,2021-01-15,34,62,4,2017-01-20,1445
Trump,2020-12-01,2020-12-17,39,57,4,2017-01-20,1411
Trump,2020-11-05,2020-11-19,43,55,2,2017-01-20,1385
Trump,2020-10-16,2020-10-27,46,52,2,2017-01-20,1365
Trump,2020-09-30,2020-10-15,43,55,2,2017-01-20,1349
Trump,2020-09-14,2020-09-28,46,52,2,2017-01-20,1333
Trump,2020-08-31,2020-09-13,42,56,2,2017-01-20,1319
Trump,2020-07-30,2020-08-12,42,55,3,2017-01-20,1287
Trump,2020-07-01,2020-07-23,41,56,3,2017-01-20,1258
Trump,2020-06-08,2020-06-30,38,57,5,2017-01-20,1235
Trump,2020-05-28,2020-06-04,39,57,4,2017-01-20,1224
Trump,2020-05-01,2020-05-13,49,48,3,2017-01-20,1197
Trump,2020-04-14,2020-04-28,49,47,4,2017-01-20,1180
Trump,2020-04-01,2020-04-14,43,54,3,2017-01-20,1167
Trump,2020-03-13,2020-03-22,49,45,6,2017-01-20,1148
Trump,2020-03-02,2020-03-13,44,52,4,2017-01-20,1137
Trump,2020-02-17,2020-02-28,47,51,2,2017-01-20,1123
Trump,2020-02-03,2020-02-16,49,48,3,2017-01-20,1109
Trump,2020-01-16,2020-01-29,49,50,1,2017-01-20,1091
Trump,2020-01-02,2020-01-15,44,53,3,2017-01-20,1077
Trump,2019-12-02,2019-12-15,45,51,4,2017-01-20,1046
Trump,2019-11-01,2019-11-14,43,54,3,2017-01-20,1015
Trump,2019-10-14,2019-10-31,41,57,2,2017-01-20,997
Trump,2019-10-01,2019-10-13,39,57,4,2017-01-20,984
Trump,2019-09-16,2019-09-30,40,56,4,2017-01-20,969
Trump,2019-09-03,2019-09-15,43,54,3,2017-01-20,956
Trump,2019-08-15,2019-08-30,39,57,4,2017-01-20,937
Trump,2019-08-01,2019-08-14,41,54,5,2017-01-20,923
Trump,2019-07-15,2019-07-31,42,54,4,2017-01-20,906
Trump,2019-07-01,2019-07-12,44,51,5,2017-01-20,892
Trump,2019-06-19,2019-06-30,41,54,5,2017-01-20,880
Trump,2019-06-03,2019-06-16,43,55,2,2017-01-20,864
Trump,2019-05-15,2019-05-30,40,55,5,2017-01-20,845
Trump,2019-05-01,2019-05-12,42,52,6,2017-01-20,831
Trump,2019-04-17,2019-04-30,46,50,4,2017-01-20,817
Trump,2019-04-01,2019-04-09,45,51,4,2017-01-20,801
Trump,2019-03-01,2019-03-10,39,57,4,2017-01-20,770
Trump,2019-02-12,2019-02-28,43,54,3,2017-01-20,753
Trump,2019-02-01,2019-02-10,44,52,4,2017-01-20,742
Trump,2019-01-21,2019-01-27,37,59,4,2017-01-20,731
Trump,2019-01-02,2019-01-10,37,59,4,2017-01-20,712
Trump,2018-12-17,2018-12-22,39,55,6,2017-01-20,696
Trump,2018-12-10,2018-12-16,38,57,5,2017-01-20,689
Trump,2018-12-03,2018-12-09,40,56,4,2017-01-20,682
Trump,2018-11-26,2018-12-02,40,56,4,2017-01-20,675
